City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,komsomolskiy,40.4272,71.7189,19.4,39,75,3.09,UZ,1680963554
85,saint anthony,45.0205,-93.218,6.61,73,0,5.14,US,1680963554
86,karratha,-20.7377,116.8463,28.94,55,74,6.84,AU,1680963554
87,san patricio,28.017,-97.5169,15.47,90,100,4.44,US,1680963554
88,proddatur,14.7333,78.55,32.74,31,0,7.94,IN,1680963555
89,tomatlan,19.9333,-105.25,22.15,50,0,1.07,MX,1680963555
90,atuona,-9.8,-139.0333,27.12,70,51,7.61,PF,1680963314
91,carnarvon,-24.8667,113.6333,22.66,61,0,5.78,AU,1680963415
92,cidreira,-30.1811,-50.2056,21.84,74,86,5.56,BR,1680963420
93,ambunti,-4.2365,142.8448,23.69,99,100,0.42,PG,1680963555
94,omagari,39.45,140.4833,3.54,79,13,1.81,JP,1680963431
95,deming,32.2687,-107.7586,7.94,39,0,2.06,US,1680963556
96,haines junction,60.7522,-137.5108,-8.03,79,100,0.51,CA,1680963556
97,cervo,43.6702,-7.4101,16.28,60,100,1.23,ES,1680963556
98,shimoda,34.6667,138.95,8.95,58,0,12.6,JP,1680963556
99,saint-francois,46.4154,3.9054,15.93,54,75,3.6,FR,1680963557
100,ilulissat,69.2167,-51.1,-6.99,73,75,2.57,GL,1680963417
101,orlik,52.5178,99.825,-3.05,92,100,1.32,RU,1680963557
102,zhangjiakou,40.81,114.8794,9.26,36,11,0.13,CN,1680963557
103,pisco,-13.7,-76.2167,26.03,78,20,2.06,PE,1680963421
104,bam,29.106,58.357,27.13,14,57,5.14,IR,1680963557
105,puerto ayora,-0.7393,-90.3518,27.98,87,100,0.89,EC,1680963258
106,castro,-24.7911,-50.0119,18.12,86,100,2.66,BR,1680963558
107,pevek,69.7008,170.3133,-30.46,100,97,2.17,RU,1680963558
108,longyearbyen,78.2186,15.6401,-8.09,79,75,11.83,SJ,1680963378
109,obo,5.3998,26.4869,31.76,33,91,2.29,CF,1680963558
110,dolores,-36.3132,-57.6792,22.93,43,2,2.31,AR,1680963559
111,buala,-8.145,159.5921,26.89,81,95,1.08,SB,1680963559
112,punta arenas,-53.15,-70.9167,9.06,61,20,7.2,CL,1680963477
113,lebu,-37.6167,-73.65,14.6,60,9,3.27,CL,1680963386
114,umm kaddadah,13.6017,26.6876,38.06,6,17,5.25,SD,1680963559
115,neuquen,-38.9516,-68.0591,16.94,59,0,2.57,AR,1680963553
116,usulutan,13.35,-88.45,29.41,43,17,1.28,SV,1680963560
